Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Biscuit sec feuilleté, type palmier ou autres	0.31639735
Biscuit sec fourré à la pâte ou purée de fruits	0.31231436
Biscuit sec fourré aux fruits, allégé en matière grasse	0.31231436
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté)	0.49427158
Biscuit sec nappé aux fruits, tartelette	0.31231436
Biscuit sec nature	0.35191155
Biscuit sec ou tuile, aux amandes	0.49427158
Biscuit sec pauvre en glucides	0.35191155
Biscuit sec petit beurre	0.25749519
Biscuit sec petit beurre au chocolat	0.46788588
Biscuit sec pour petit déjeuner	0.35191155
Biscuit sec pour petit déjeuner, allégé en sucres	0.35191155
Biscuit sec pour petit déjeuner, au chocolat	0.46788588
Biscuit sec type langue de chat ou cigarette russe	0.4260193
Biscuit sec type tuile, aux fruits	0.39553642
Biscuit sec, avec matière grasse végétale	0.17512355
Biscuit sec, petits fours en assortiment	0.4260193
Biscuit sec, sablé, galette ou palet, aux fruits	0.31231436
Biscuit sec, sans précision	0.35191155
Blanquette de veau	1.5664525
Blé de Khorasan, cru	0.062090569
Blé dur entier, cru	0.14173396
Blé dur précuit cuisiné, en sachet micro-ondable	0.06382045
Blé dur précuit, entier, cru	0.14173396
Blé dur précuit, grains entiers, cuisiné, à poêler	0.062892459
Blé dur précuit, grains entiers, cuit, non salé	0.075564318
Blé tendre entier ou froment, cru	0.10458352
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC)	0.52892153
Blini	0.21836558
Boeuf aux carottes	2.1719301
Boeuf bourguignon	2.3664004
Boeuf, à bourguignon ou pot-au-feu, cru	2.6919314
Boeuf, à bourguignon ou pot-au-feu, cuit	3.4321949
Boeuf, bavette d'aloyau, crue	2.6919314
Boeuf, bavette d'aloyau, grillée/poêlée	3.4135073
Boeuf, boule de macreuse, crue	2.6932335
Boeuf, boule de macreuse, grillée/poêlée	3.4151568
Boeuf, boule de macreuse, rôtie/cuite au four	3.4338398
Boeuf, boulettes cuites	3.0788529
Boeuf, braisé	3.4321949
Boeuf, collier, braisé	4.2864984
Boeuf, côte, crue	2.7030992
Boeuf, entrecôte, crue	2.7030992
Boeuf, entrecôte, partie maigre, grillée/poêlée	3.4276206
Boeuf, épaule, crue	2.6919314
Boeuf, faux-filet, cru	2.6919314
Boeuf, faux-filet, grillé/poêlé	3.4135073
Boeuf, faux-filet, label rouge, cru	2.6919314
Boeuf, faux-filet, rôti/cuit au four	3.4321949
Boeuf, gîte à la noix, cru	2.6919314
Boeuf, gîte à la noix, cuit	3.4321949
Boeuf, hampe, crue	2.6919314
Boeuf, hampe, grillée/poêlée	3.4135073
Boeuf, jarret, bouilli/cuit à l'eau	3.4405386
Boeuf, jarret, cru	2.7030992
Boeuf, joue, braisée ou bouillie	2.750191
Boeuf, joue, crue	2.6919314
Boeuf, onglet, cru	2.6919314
Boeuf, onglet, grillé	3.4321949
Boeuf, paleron, braisé ou bouilli	4.2807342
Boeuf, paleron, cru	3.368202
Boeuf, plat de côtes, braisé	3.4463028
Boeuf, plat de côtes, cru	2.7030992
Boeuf, queue, bouillie/cuite à l'eau	3.4405386
Boeuf, rosbif, rôti/cuit au four	3.4321949
Boeuf, rumsteck, cru	2.6919314
Boeuf, rumsteck, grillé	3.4321949
Bœuf, steak haché 10% MG, cru	3.3282781
Bœuf, steak haché 10% MG, cuit	4.2173773
Bœuf, steak haché 15% MG, cru	3.3282781
Bœuf, steak haché 15% MG, cuit	4.2173773
Bœuf, steak haché 20% MG, cru	3.3282781
Bœuf, steak haché 20% MG, cuit	4.2173773
Bœuf, steak haché 5% MG, cru	3.3282781
Bœuf, steak haché 5% MG, cuit	4.2173773
Boeuf, steak ou bifteck, cru	2.6919314
Boeuf, steak ou bifteck, grillé	3.4321949
Boeuf, tende de tranche, crue	2.6919314
Boeuf, tende de tranche, grillée/poêlée	3.4135073
Boeuf, tende de tranche, rôtie/cuite au four	3.4321949
Bogue, crue	0.16385094
Boisson à base d'avoine, nature	0.078448383
Boisson à base de riz, nature	0.061677333
Boisson à l'amande	0.061564663
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants	N/A
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant	N/A
Boisson à l'eau minérale ou de source, aromatisée, sucrée	N/A
