Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Glace ou crème glacée, petit pot enfant	0.22353537
Glace ou crème glacée, pot individuel	0.22353537
Gnocchi à la pomme de terre, cru	0.094418006
Gnocchi à la pomme de terre, cuit	0.12148119
Gnocchi à la semoule, cru	0.094418006
Gnocchi à la semoule, cuit	0.12148119
Gombo, fruit, cuit	0.18311308
Gorgonzola	0.49386132
Gouda	0.57092594
Gougère	0.38527352
Goûter sec fourré ("sandwiché") parfum chocolat	0.46788588
Goûter sec fourré ("sandwiché") parfum fruits	0.31231436
Goûter sec fourré ("sandwiché") parfum lait ou vanille	0.46788588
Goyave, pulpe, crue	0.13843177
Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée	1.2318794
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux	0.63233444
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux	0.62001497
Graisse d'oie	0.21373946
Graisse de canard	0.21373946
Graisse de dinde	0.21373946
Graisse de poulet	0.21373946
Grana Padano	0.58772406
Gratin d'aubergine	0.19364862
Gratin dauphinois	0.18938117
Gratin de chou-fleur	0.18899238
Gratin de légumes	0.19364862
Gratin de légumes en sauce blanche type béchamel, cuit	0.18899238
Gratin de pâtes	0.32204231
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson	1.4607123
Gratin ou cassolette de poisson et / ou fruits de mer, à cuire	1.4123052
Gratin ou cassolette de poisson et / ou fruits de mer, cuit	1.4168407
Grenade, pulpe et pépins, crue	0.073727326
Grenadier (de roche), cru	1.8946113
Grenadier bleu ou hoki de Nouvelle-Zélande, cru	1.1409483
Gressins	0.15482164
Griotte, crue	0.5205825
Grondin perlon, cru	1.8946113
Grondin, cru	1.2435499
Groseille à maquereau, crue	0.27609283
Groseille, crue	0.23393092
Gruyère	0.5973633
Gruyère IGP France	0.5909335
Guacamole, préemballé	0.32547927
Guimauve ou marshmallow	0.2166228
Haché à base de bœuf ou Préparation de viande hachée de boeuf, 15% MG, cru	1.6599054
Haché de volaille	1.1951891
Haché végétal à base de soja, préemballé	0.29799901
Hachis Parmentier à la viande	1.1272133
Haddock (fumé) ou églefin fumé	1.8920271
Hamburger, provenant de fast food	1.7585346
Hareng fumé, à l'huile	0.30015024
Hareng fumé, au naturel	0.30015024
Hareng fumé, filet, doux	0.30015024
Hareng gras, cru	0.30273448
Hareng maigre, cru	0.30273448
Hareng mariné ou rollmops	0.30273448
Hareng, cru	0.30273448
Hareng, frit	0.37925149
Hareng, grillé/poêlé	0.37925149
Haricot beurre, appertisé, égoutté	0.18122808
Haricot beurre, cru	0.12904805
Haricot beurre, surgelé, cru	0.16895399
Haricot blanc, appertisé, égoutté	0.13601207
Haricot blanc, cuit	0.057265977
Haricot blanc, sec	0.12368932
Haricot de Lima, cru	0.10156435
Haricot de mer (Himanthalia elongata), séchée ou déshydratée	1.2052509
Haricot flageolet, appertisé, égouttés	0.13687687
Haricot flageolet, cuit	0.057515948
Haricot flageolet, surgelé	0.070121659
Haricot flageolet, vert, cuit	0.057515948
Haricot flageolet, vert, sec	0.12456738
Haricot mungo germé ou pousse de "soja", appertisé, égoutté	0.18131205
Haricot mungo germé ou pousse de "soja", cru	0.10156435
Haricot mungo, cuit	0.057515948
Haricot mungo, sec	0.13841891
Haricot plat, cru	0.12904805
Haricot rouge, appertisé, égoutté	0.14039004
Haricot rouge, cuit	0.057515948
Haricot rouge, sec	0.12456738
Haricot vert importé par avion, cru	0.55002958
Haricot vert, appertisé, égoutté	0.18025337
Haricot vert, cru	0.11443903
Haricot vert, cuit	0.16656113
Haricot vert, surgelé, cru	0.175
Haricot vert, surgelé, cuit	0.21291816
Haricots blancs à la sauce tomate, appertisés	0.10037931
Haricots verts, purée	0.1586002
Harissa (sauce condimentaire)	0.29047289
Herbes de Provence, séchées	0.40162861
Hoki, tout lieu de pêche, cru	1.8946113
Homard, bouilli/cuit à l'eau	5.8165965
Hot-dog	0.82288596
Houmous	0.17550421
Huile combinée (mélange d'huiles)	0.42194954
Huile combinée, mélange d'huile d'olive et de graines	0.45791437
Huile d'arachide	0.98392464
Huile d'avocat	1.3681347
Huile d'olive vierge extra	0.58964973
Huile de beurre ou Beurre concentré	0.75704147
Huile de colza	0.4096374
Huile de coton	0.88494011
Huile de foie de morue	0.18604114
Huile de hareng	0.18604114
Huile de lin	0.66246355
Huile de maïs	0.47976941
Huile de noisette	1.5733384
Huile de palme raffinée	0.4668951
Huile de palme, sans précision	0.42831
Huile de pépins de raisin	0.18054851
Huile de sardine	0.18604114
Huile de saumon	0.18604114
Huile de sésame	0.4096374
Huile de soja	0.36038735
Huile de tournesol	0.40980848
Huile pour friture, sans précision	0.40977426
Huître creuse, crue	0.47845182
Huître plate, crue	0.47845182
Huître, sans précision, crue	0.47845182
Igname, épluchée, bouillie/cuite à l'eau	0.10581999
Igname, épluchée, crue	0.066674132
Ile flottante, rayon frais	0.2419894
Insecte (Mouche Soldat Noir)	0.32918285
Jambon à l'os braisé	1.2422908
Jambon cru	1.9785153
Jambon cru, fumé	1.9785153
Jambon cru, fumé, allégé en matière grasse	1.9785153
Jambon cuit, choix	0.9912024
Jambon cuit, choix, avec couenne	0.9912024
Jambon cuit, choix, découenné dégraissé	0.9912024
Jambon cuit, de Paris, découenné dégraissé	0.9912024
Jambon cuit, fumé	0.9912024
Jambon cuit, supérieur	0.9912024
Jambon cuit, supérieur, à teneur réduite en sel	0.9912024
Jambon cuit, supérieur, avec couenne	0.9912024
Jambon cuit, supérieur, découenné	0.9912024
Jambon cuit, supérieur, découenné dégraissé	0.9912024
Jambon de Bayonne	1.9785153
Jambon de dinde ou Blanc de dinde en tranche	0.87893453
Jambon de porc à cuire ou Jambon à rôtir/cuire au four	0.9912024
Jambon de poulet ou Blanc de poulet en tranche	0.87893453
Jambon en croûte	1.2308597
Jambon sec	2.4764319
Jambon sec de Parme	2.4764319
Jambon sec Serrano	2.4764319
Jambon sec, découenné, dégraissé	2.4764319
Jambonneau, cuit	1.2422908
Joëls (petits poissons entiers) pour friture, crus	0.16385094
Julienne ou brunoise de légumes, surgelée, crue	0.11465717
Julienne ou Lingue, crue	1.8946113
Julienne ou Lingue, cuite	2.3421423
Jus d'ananas, à base de concentré	0.59445232
Jus d'ananas, pur jus	0.82857814
Jus d'orange, à base de concentré	0.026581946
Jus d'orange, maison	0.13455571
Jus de betterave	0.15389474
Jus de carotte, pur jus	0.082444642
Jus de citron, pur jus	0.19480665
Jus de fruits rouges	0.14212653
Jus de mangue, frais	0.052312296
Jus de pamplemousse (pomelo), pur jus	0.61509345
Jus de pomme, pur jus	0.084261621
Jus de raisin, pur jus	0.088667937
Jus de tomate, pur jus (aliment moyen)	0.096911896
Jus multifruit - base orange, multivitaminé	0.10206297
Jus multifruit - base pomme, standard	0.061484031
Jus multifruit, à base de concentré, standard	0.31765204
Jus multifruit, pur jus, multivitaminé	0.31765204
Jus multifruit, pur jus, standard	0.31765204
Kaki, pulpe, cru	0.10428839
Ketchup	0.1467914
Khatfa feuille de brick, préemballée	0.14604022
Kir (au vin blanc)	0.19356241
Kir royal (au champagne)	0.19476049
Kiwi, pulpe et graines, cru	0.17093846
Kombu breton (Laminaria digitata), séchée ou déshydratée	1.2052509
Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée	1.2318794
Kombu royal (Saccharina latissima), séchée ou déshydratée	1.2318794
Kouign Amann	0.16369255
Kumquat, sans pépin, cru	0.14699838
Lait 1er âge, poudre soluble (préparation pour nourrissons)	1.5324959
Lait 1er âge, prêt à consommer (préparation pour nourrissons)	0.14824744
Lait 2e âge, poudre soluble (préparation de suite)	1.5324959
Lait 2e âge, prêt à consommer (préparation pour nourrissons)	0.14824744
Lait concentré non sucré, entier	0.2373753
Lait concentré sucré, entier	0.2373753
Lait de brebis, entier	0.25995985
Lait de chèvre, demi-écrémé, UHT	0.20664707
Lait de chèvre, entier, cru	0.20664707
Lait de chèvre, entier, UHT	0.20664707
Lait de coco ou Crème de coco	0.063260194
Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)	0.13515122
Lait demi-écrémé, à teneur réduite en lactose	0.12437907
Lait demi-écrémé, pasteurisé	0.12437907
Lait demi-écrémé, UHT	0.12437907
Lait demi-écrémé, UHT, enrichi en vitamines	0.12437907
Lait écrémé, pasteurisé	0.11263116
Lait écrémé, UHT	0.11263116
Lait emprésuré aromatisé, rayon frais	0.17264507
Lait en poudre, demi-écrémé	1.528547
Lait en poudre, écrémé	1.528547
Lait en poudre, entier	1.528547
Lait entier, pasteurisé	0.14146694
Lait entier, UHT	0.14146694
Lait fermenté à boire, nature, au lait entier	0.17120457
Lait fermenté à boire, nature, maigre	0.1555572
Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus	0.18546299
Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus	0.2762424
Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus	0.24636338
Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais	0.16501034
Lait gélifié aromatisé, nappé caramel, rayon frais	0.23190228
Lait gélifié aromatisé, rayon frais	0.16501034
Laitue de mer (Ulva sp.), séchée ou déshydratée	1.2052509
Laitue iceberg, crue	0.089191375
Laitue romaine, crue	0.12411724
Laitue, crue	0.12411724
Langoustine, crue	3.6503736
Langres	0.47872308
Langue, boeuf, crue	2.134587
Langue, boeuf, cuite	2.9574892
Langue, porc, crue	0.27572801
Langue, veau, crue	1.7114355
Langue, veau, cuite	2.3774722
Lapin à la moutarde	0.71844256
Lapin de garenne, viande, crue	0.89010237
Lapin de garenne, viande, cuite	1.2099739
Lapin, viande braisée	1.2099739
Lapin, viande crue	0.89010237
Lapin, viande cuite	1.2099739
Lard gras, cru	0.21044402
Lardon fumé, cru	0.88642226
Lardon fumé, cuit	1.1513732
Lardon nature, cru	0.88642226
Lardon nature, cuit	1.1513732
Lasagnes ou canelloni aux légumes et au fromage de chèvre, cuits	0.30946438
Lasagnes ou cannelloni à la viande (bolognaise)	0.55582516
Lasagnes ou cannelloni au fromage et aux épinards	0.39312808
Lasagnes ou cannelloni au poisson	0.41260211
Lasagnes ou cannelloni aux légumes	0.30946438
Lasagnes ou cannelloni aux légumes, cuits	0.30946438
Laurier, feuille	0.13558479
Lécithine de soja	0.49725444
Légumes (3-4 sortes en mélange), purée	0.14238038
Légumes farcis (sauf tomate)	0.59878708
Légumes pour couscous, cuits	0.12676308
Légumes pour couscous, surgelés, crus	0.11538353
Légumes pour potages, surgelés, crus	0.2499076
Légumes pour ratatouille, surgelés	0.11943811
Légumes, mélange surgelé, crus	0.2499076
Lentille blonde, cuite	0.059769005
Lentille blonde, sèche	0.1298171
Lentille corail, cuite	0.059769005
Lentille corail, sèche	0.1298171
Lentille verte, cuite	0.059769005
Lentille verte, sèche	0.1298171
Lentille, cuisinée, appertisée, égouttée	0.14204732
Lentille, cuite	0.059769005
Lentille, germée	0.1298171
Lentille, sèche	0.1298171
Levure alimentaire	0.41975579
Levure chimique ou Poudre à lever	0.41975579
Levure de boulanger, compressée	0.42947646
Levure de boulanger, déshydratée	0.41975579
Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté	1.2052509
Liégeois aux fruits	0.34179582
Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais	0.32642218
Lieu jaune ou colin, cru	1.8946113
Lieu noir, cru	0.98300834
Lieu noir, cuit	1.2290222
Lieu noir, surgelé, cru	0.70024717
Lieu ou colin d'Alaska, cru	1.8946113
Lieu ou colin d'Alaska, fumé	1.8920271
Limande-sole, crue	1.8946113
Limande-sole, cuite à la vapeur	2.3421423
Limande-sole, panée, frite	2.3259068
Limande, crue	1.8946113
Limonade, non sucrée, avec édulcorants	0.095238345
Limonade, sucrée	N/A
Limonade, sucrée, avec édulcorants	N/A
Lin, brun, graine	0.56462916
Lin, graine	0.56462916
Lingue bleue ou Lingue, crue	1.8946113
Liqueur	0.21323817
Litchi, pulpe, cru	0.18294147
Livarot	0.50933069
Lotte ou baudroie, crue	1.8946113
Lotte ou baudroie, grillée/poêlée	2.3421423
Loup tacheté, cru	1.8946113
Lupin, graine crue	0.15385595
Luzerne, graine	0.87412361
Luzerne, graine germée	0.87412361
Macaron moelleux fourré à la confiture ou à la crème	0.53595656
Macaron sec	0.41262669
Macédoine de légumes, appertisée, égouttée	0.10961061
Macédoine de légumes, surgelée	0.13324467
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté	0.25225121
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté	0.15293474
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté	0.25841199
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté	0.15293474
Mâche, crue	0.12411724
Madeleine chocolatée, préemballée	0.58305245
Madeleine ordinaire, préemballée	0.28928302
Madeleine traditionnelle, pur beurre	0.43569623
Maïs doux, appertisé, égoutté	0.18185073
Maïs doux, en épis, cuit	0.20544537
Maïs doux, en épis, surgelé, cru	0.15932844
Maïs doux, surgelé, cru	0.15932844
Maïs entier, cru	0.1242238
Mandarine, pulpe, crue	0.14738763
Mangue importée par avion, pulpe, crue	0.91179783
Mangue importée par bateau, pulpe, crue	0.20142567
Manioc, racine crue	0.077427737
Manioc, racine cuite	0.12279532
Maquereau espagnol ou maquereau blanc ou billard, cru	0.2944998
Maquereau, au naturel, appertisé, égoutté	0.91772539
Maquereau, cru	0.2944998
Maquereau, filet au vin blanc, appertisé, égoutté	0.91779857
Maquereau, filet sauce moutarde, appertisé, égoutté	0.91779857
Maquereau, filet sauce tomate, appertisé, égoutté	0.91779857
Maquereau, frit	0.36919646
Maquereau, fumé	0.29191555
Maquereau, mariné	0.2944998
Maquereau, rôti/cuit au four	0.3883133
Marjolaine, séchée	0.39831561
Marmelade d'orange	0.17882317
Maroilles fermier	0.52174126
Maroilles laitier	0.51154647
Maroilles, sans précision	0.52069307
Marsala	0.1902482
Matière grasse laitière à 20% MG, légère, "à tartiner", doux	0.45720882
Matière grasse laitière à 25% MG, légère, "à tartiner", doux	0.50749241
Matière grasse mélangée (végétale et laitière) à 50-63% MG	0.35223546
Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel	0.35223546
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG	0.30853491
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel	0.30853491
Matière grasse ou graisse végétale solide (type margarine) pour friture	0.4476765
Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal	0.21682087
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel	0.3002478
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3	0.28757094
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux	0.30677454
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal	0.32207401
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3	0.30817043
Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux	0.33034909
Matière grasse végétale (type margarine) à 70% MG, doux	0.36210565
Matière grasse végétale (type margarine) à 80% MG, salé	0.37959195
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel	0.22786511
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux	0.25427293
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3	0.24430833
Matière grasse végétale ou margarine, 80% MG, doux	0.38424659
Mayonnaise (70% MG min.)	0.49537835
Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée	0.49537835
Mélange apéritif de graines (non salées) et fruits séchés	0.44683048
Mélange apéritif de graines (non salées) et raisins secs	0.44683048
Mélange apéritif de graines salées et raisins secs	0.44683048
Mélange de céréales et légumineuses, cru	0.10328832
Mélasse de canne	0.41262464
Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru	0.15206724
Melon miel ou melon honeydew, pulpe, cru	0.15206724
Meloukhia, feuilles de corète séchées, en poudre	0.25932295
Menthe, fraîche	0.11502191
Merguez, boeuf et mouton, crue	4.1657142
Merguez, boeuf et mouton, cuite	4.1973084
Merguez, bœuf, mouton et porc, crue	3.4118352
Merguez, crue	2.6450693
Merguez, porc et bœuf, crue	2.6450693
Merguez, pur bœuf, crue	2.9632739
Meringue	0.32370916
Merlan, cru	1.8946113
Merlan, cuit à la vapeur	2.3421423
Merlan, frit	2.3230255
Merlan, pané	2.3450245
Merlu blanc du Cap, surgelé, cru	1.1454304
Merlu, cru	1.1409483
Merlu, cuit à l'étouffée	1.421876
Merlu, filet, surgelé, cru	1.2135519
Mérou, cru	0.81624389
Mesclun ou salade, mélange de jeunes pousses	0.16200291
Miel	0.17714148
Miettes de thon à l'huile, appertisées	0.97967687
Miettes de thon à la tomate, appertisées	0.77720709
Mil entier, cru	0.13826306
Mil, cuit, non salé	0.062284179
Milk-shake, provenant de fast food	0.13720645
Mille-feuille	0.24367376
Mimolette demi-vieille	0.58893482
Mimolette extra-vieille	0.59774501
Mimolette jeune	0.57942331
Mimolette vieille	0.60519636
Mimolette, sans précision	0.58893482
Miso	0.26366926
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse)	0.49309293
Morbier	0.56913084
Mortadelle	1.3234301
Mortadelle pistachée pur porc	1.3234301
Mortadelle, porc et boeuf	1.3234301
Mortadelle, pur porc	1.3234301
Morue, salée, bouillie/cuite à l'eau	2.3421423
Morue, salée, sèche	1.8946113
Moule commune, crue	0.46052324
Moule de Méditerranée, crue	0.46052324
Moule, appertisée, égouttée	0.6626824
Moule, bouillie/cuite à l'eau	0.63307114
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée	0.45936531
Moules farcies (matière grasse, persillade…), crues	0.37874995
Moules marinières (oignons et vin blanc)	0.37874995
Moussaka	2.6754943
Mousse à la crème de marrons, rayon frais	0.36394173
Mousse au chocolat (base laitière), rayon frais	0.70167341
Mousse au chocolat traditionnelle, rayon frais	0.70167341
Mousse aux fruits, rayon frais	0.36394173
Mousse de canard	0.89668116
Mousse de foie de porc	0.78960688
Mousse de foie de porc supérieure ou Crème de foie	0.78960688
Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais	0.29650291
Moutarde	0.31455923
Moutarde à l'ancienne	0.30834925
Mouton, épaule, crue	3.7608858
Mouton, gigot, cru	4.7043951
Mouton, pied, cru	3.075278
Mouton, tête, crue	3.075278
Mouton, viande, crue	3.7608858
Mozzarella au lait de vache	0.44600183
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux)	0.26528922
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux	0.2653783
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)	0.2653783
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux	0.2653783
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux)	0.2653783
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux	0.2653783
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés	0.2653783
Muesli floconneux ou de type traditionnel	0.2653783
Muffin anglais, complet, petit pain spécial, préemballé	0.1181012
Muffin anglais, petit pain spécial, préemballé	0.2316911
Muffin, aux myrtilles ou au chocolat	0.35679602
Mulet, cru	1.8946113
Mulet, rôti/cuit au four	2.3421423
Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux	0.63233444
Munster	0.50737132
Mûre (de ronce), crue	0.27659547
Mûre (de ronce), surgelée, crue	0.34326874
Mûre noire (du mûrier), crue	0.33816659
Museau de boeuf en vinaigrette	2.1569029
Museau de porc vinaigrette	0.31007115
Myrtille, crue	0.28367987
Myrtille, surgelée, crue	0.35034676
Navarin d'agneau aux légumes	2.9948262
Navet, cuit	0.10047557
Navet, pelé, cru	0.055979459
Navet, surgelé, cru	0.10786978
Nectar d'abricot	0.069231558
Nectar d'orange	0.031271724
Nectar de banane	0.069805624
Nectar de mangue	0.05283877
Nectar de pêche	0.21704716
Nectar de poire	0.12755819
Nectar multifruit, multivitaminé	0.31765204
Nectar multifruit, standard	0.31765204
Nectarine ou brugnon, pulpe et peau, crue	0.20756281
Nem ou Pâté impérial	0.60710088
Nem ou Pâté impérial, au porc, cuit	0.60710088
Nem ou Pâté impérial, au poulet, cuit	0.60710088
Nem ou Pâté impérial, aux crevettes et/ou au crabe, cuit	0.60710088
Neufchâtel	0.46947472
Noisette	0.85669825
Noisette grillée	0.87907722
Noisette grillée, salée	0.87907722
Noix de cajou, grillée, salée	0.68036328
Noix de coco, amande immature, fraîche	0.43052494
Noix de coco, amande mûre, fraîche	0.43052494
Noix de coco, amande, sèche	0.43052494
Noix de macadamia	0.91423801
Noix de macadamia, grillée, salée	0.91423801
Noix de muscade	0.14440871
Noix de pécan	0.91423801
Noix de pécan, salées	0.91423801
Noix du Brésil	0.61177219
Noix, fraîche	0.95170173
Noix, séchée, cerneaux	0.95170173
Nori (Porphyra sp.), séchée ou déshydratée	1.2318794
Nougat glacé	0.22353537
Nougat ou touron	0.446518
Nouilles asiatiques aromatisées, déshydratées	0.26103329
Nouilles asiatiques cuites, aromatisées	0.20675215
Nouilles asiatiques cuites, nature, non salées	0.20675215
Nouilles sautées/poêlées aux crevettes	0.23774944
Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé	0.24194871
Oeuf d'oie, cru	0.54613392
Oeuf de cane, cru	0.54613392
Oeuf de dinde, cru	0.4839901
Oeuf, à la coque	0.63018309
Oeuf, au plat, sans matière grasse	0.59612401
Oeuf, blanc (blanc d'oeuf), cru	0.60533856
Oeuf, blanc (blanc d'oeuf), cuit	0.656905
Oeuf, blanc (blanc d'oeuf), en poudre	0.55628742
Oeuf, brouillé, avec matière grasse	0.70421409
Oeuf, cru	0.54613392
Oeuf, dur	0.61559718
Oeuf, en poudre	0.69861821
Oeuf, jaune (jaune d'oeuf), cru	0.60525209
Oeuf, jaune (jaune d'oeuf), cuit	0.65681623
Oeuf, jaune (jaune d'oeuf), en poudre	0.55621825
Oeuf, poché	0.63018309
Oie, viande crue	0.89010237
Oie, viande et peau, crue	0.89010237
Oie, viande et peau, rôtie/cuite au four	1.2099739
Oie, viande, rôtie/cuite au four	1.2099739
Oignon, cru	0.062869944
Oignon, cuit	0.10860635
Oignon, séché	1.146866
Oignon, surgelé, cru	0.12850816
Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)	0.13135854
Omble chevalier, cru	3.0863382
Omelette au fromage	0.59153843
Omelette aux champignons	0.68653571
Omelette aux fines herbes	0.57796197
Omelette aux lardons	0.73315844
Omelette norvégienne	0.22353537
Orange, pulpe, crue	0.14825645
Oreille de porc demi-sel	0.38069836
Orge entière, crue	0.12754897
Orge perlée, bouilli/cuite à l'eau, non salée	0.1208385
Orge perlée, crue	0.12754897
Origan, séché	0.39831561
Orphie commune, crue	0.24578546
Oseille, crue	0.089800178
Ossau-Iraty	0.67397585
Osso buco	1.4084979
Paëlla	0.58470531
Pain au chocolat feuilleté, artisanal	0.39445568
Pain au chocolat, préemballé	0.39445568
Pain au lait aux pépites de chocolat, préemballé	0.28490394
Pain au lait, artisanal	0.29350304
Pain au lait, préemballé	0.29350304
Pain au son	0.092913423
Pain aux raisins (viennoiserie)	0.28472725
Pain blanc maison (avec farine pour machine à pain)	0.10101331
Pain brioché ou viennois	0.2214581
Pain complet ou intégral (à la farine T150)	0.10128274
Pain courant français, 400g ou boule	0.10101331
Pain d'épices	0.23337146
Pain de campagne maison (avec farine pour machine à pain)	0.10128274
Pain de mie brioché, préemballé	0.22010175
Pain de mie, au son	0.19439404
Pain de mie, complet	0.19439404
Pain de mie, courant	0.19439404
Pain de mie, multicéréale	0.19147064
Pain de mie, sans croûte, préemballé	0.15286021
Pain de seigle, et froment	0.10413922
Pain grillé brioché, tranché, préemballé	0.20778228
Pain grillé suédois au blé complet	0.17915117
Pain grillé suédois au froment	0.17915117
Pain grillé suédois aux fruits	0.17915117
Pain grillé suédois aux graines de lin	0.17915117
Pain grillé, domestique	0.12263253
Pain grillé, tranches, au froment	0.11031305
Pain grillé, tranches, multicéréale	0.10221317
Pain panini	0.16139146
Pain perdu	0.24215847
Pain pita	0.14182454
Pain pour hamburger ou hot dog (bun), complet, préemballé	0.10002179
Pain pour hamburger ou hot dog (bun), préemballé	0.2141911
Pain, baguette ou boule, au levain	0.098765148
Pain, baguette ou boule, aux céréales et graines, artisanal	0.1897072
Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)	0.11075196
Pain, baguette ou boule, bis (à la farine T80 ou T110) 	0.10101331
Pain, baguette ou boule, de campagne	0.10128274
Pain, baguette, courante	0.10101331
Pain, baguette, de tradition française	0.10101331
Pain, baguette, sans sel	0.10101331
Pain, sans gluten	0.21608167
Palet ou galette de légumes, préfrit, surgelé	0.21537066
Palet ou galette de légumes, préfrit, surgelé, cuit	0.21537066
Palmier, artisanal	0.31639735
Pamplemousse chinois, pulpe, cru	0.6766048
Pan bagnat	0.31753289
Panaché (limonade et bière)	0.11823464
Panaché préemballé (<1° alc.)	0.11823464
Panais, cru	0.06540634
Panais, cuit	0.11350822
Pancetta ou Poitrine roulée sèche	2.4764319
Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit	5.408425
Pangasius ou Poisson-chat, cru	1.9024819
Panna cotta, rayon frais	0.22201787
Papaye, pulpe, crue	0.10047878
Paprika	1.423572
Parmentier de canard	0.61029088
Parmentier de canard, cuit	0.61029088
Parmesan	0.59113205
Pastèque, pulpe, crue	0.11118919
Pastilla au poulet	0.60960052
Pastis	0.11980418
Patate douce, crue	0.036684887
Patate douce, cuite	0.081767328
Patate douce, purée, cuisinée à la crème	0.11869269
Pâte à pizza crue	0.18452276
Pâte à pizza cuite	0.18452276
Pâte à pizza fine, crue	0.18452276
Pâte à tartiner chocolat et noisette	0.54505164
Pâté au poivre vert	0.77703037
Pâté breton	0.77703037
Pâte brisée, crue	0.37191186
Pâte brisée, matière grasse végétale, cuite	0.37191186
Pâte brisée, pur beurre, crue	0.37191186
Pâte brisée, pur beurre, surgelée, crue	0.3715125
Pâte d'amande, préemballée	0.56703771
Pâté de foie d'oie	0.77703037
Pâté de foie de porc	0.77703037
Pâté de foie de porc, supérieur	0.77703037
Pâté de foie de volaille	0.77703037
Pâte de fruits	0.21855721
Pâté de gibier	0.77703037
Pâté de lapin	0.82009932
Pâté en croûte	1.631982
Pâte feuilletée pur beurre, crue	0.40010481
Pâte feuilletée pur beurre, cuite	0.40010481
Pâte feuilletée pur beurre, surgelée crue	0.39845747
Pâte feuilletée, cuite	0.41068044
Pâte feuilletée, matière grasse végétale, crue	0.40010481
Pâte feuilletée, surgelée, crue	0.39845747
Pâté ou terrine aux champignons (forestier)	0.42943802
Pâté ou terrine de campagne	0.77703037
Pâte phyllo ou Pâte filo, crue	0.27913486
Pâte sablée pur beurre, crue	0.39244173
Pâte sablée pur beurre, cuite	0.39244173
Pâte sablée pur beurre, surgelée, crue	0.3911336
Pâte sablée, crue	0.39244173
Pâte sablée, cuite	0.39244173
Pâtes à la bolognaise (spaghetti, tagliatelles…)	0.59874367
Pâtes à la carbonara (spaghetti, tagliatelles…)	0.34701628
Pâtes en sauce aux fromages (spaghetti, tagliatelles…)	0.34960494
Pâtes fraîches farcies (ex : ravioli), aux légumes, crues	0.2834764
Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, crues	0.35633296
Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, cuites	0.35633296
